#,Keyword,Project,Township,Location,BHK,Intent,Funnel,SEO_PPC,Priority,Status
632,"VTP Pune site visit best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
633,"VTP Pune site visit top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
634,"VTP Pune site visit near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
635,"VTP Pune site visit for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
636,"VTP Pune site visit investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
637,"VTP Pune site visit direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
638,"VTP Pune site visit official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
639,"VTP Pune site visit price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
640,"VTP Pune site visit brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
641,"VTP Pune site visit floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
642,"VTP Pune site visit RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
643,"VTP Pune site visit possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
644,"VTP Pune site visit customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
645,"VTP Pune possession","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
646,"VTP Pune possession 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
647,"VTP Pune possession current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
648,"VTP Pune possession latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
649,"VTP Pune possession new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
650,"VTP Pune possession upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
651,"VTP Pune possession residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
652,"VTP Pune possession luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
653,"VTP Pune possession premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
654,"VTP Pune possession affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
655,"VTP Pune possession best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
656,"VTP Pune possession top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
657,"VTP Pune possession near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
658,"VTP Pune possession for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
659,"VTP Pune possession investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
660,"VTP Pune possession direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
661,"VTP Pune possession official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
662,"VTP Pune possession price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
663,"VTP Pune possession brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
664,"VTP Pune possession floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
665,"VTP Pune possession RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
666,"VTP Pune possession possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
667,"VTP Pune possession customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
668,"VTP Pune investment","VTP Group","Pune Master","Pune","All","Navigational","TOFU","SEO/PPC","P1","ACTIVE"
669,"VTP Pune investment 2026","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
670,"VTP Pune investment current","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
671,"VTP Pune investment latest","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
672,"VTP Pune investment new","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
673,"VTP Pune investment upcoming","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
674,"VTP Pune investment residential","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
675,"VTP Pune investment luxury","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
676,"VTP Pune investment premium","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
677,"VTP Pune investment affordable","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
678,"VTP Pune investment best","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
679,"VTP Pune investment top","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
680,"VTP Pune investment near me","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
681,"VTP Pune investment for sale","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
682,"VTP Pune investment investment","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
683,"VTP Pune investment direct developer","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
684,"VTP Pune investment official","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
685,"VTP Pune investment price list","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
686,"VTP Pune investment brochure PDF","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
687,"VTP Pune investment floor plan layout","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
688,"VTP Pune investment RERA verified","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
689,"VTP Pune investment possession date","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
690,"VTP Pune investment customer reviews","VTP Group","Pune Master","Pune","All","Commercial","MOFU","SEO/PPC","P2","ACTIVE"
691,"VTP Luxe Pune","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
692,"VTP Luxe projects Pune","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
693,"VTP Luxe properties Pune","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
694,"VTP Luxe apartments Pune","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
695,"VTP Luxe luxury flats Pune","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
696,"VTP Luxe luxury homes Pune","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
697,"VTP Luxe price","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
698,"VTP Luxe price list","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
699,"VTP Luxe brochure","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
700,"VTP Luxe floor plans","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
701,"VTP Luxe reviews","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
702,"VTP Luxe RERA","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
703,"VTP Luxe investment","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
704,"VTP Luxe 2 BHK","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
705,"VTP Luxe 3 BHK","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
706,"VTP Luxe 4 BHK","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
707,"VTP Luxe 5 BHK","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
708,"VTP Luxe villas Pune","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
709,"VTP Luxe premium residences","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
710,"VTP Luxe ultra luxury apartments","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
711,"VTP Luxe Kharadi","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
712,"VTP Luxe New Kharadi","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
713,"VTP Luxe Mahalunge","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
714,"VTP Luxe Hinjawadi","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
715,"VTP Luxe Bavdhan","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
716,"VTP Luxe Pune East","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
717,"VTP Luxe Pune West","VTP Luxe","VTP Luxe Portfolio","Pune","All","Commercial","MOFU","SEO/PPC","P1","ACTIVE"
718,"VTP Earth 1 price","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
719,"VTP Earth 1 Pune price","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
720,"VTP Earth 1 Mahalunge price","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
721,"VTP Earth 1 price list","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
722,"VTP Earth 1 latest price 2026","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
723,"VTP Earth 1 current price","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
724,"VTP Earth 1 starting price","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
725,"VTP Earth 1 flat price","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
726,"VTP Earth 1 apartment price","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
727,"VTP Earth 1 per sq ft price","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
728,"VTP Earth 1 price per square foot","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
729,"VTP Earth 1 cost","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
730,"VTP Earth 1 total cost","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
731,"VTP Earth 1 cost sheet all inclusive","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
732,"VTP Earth 1 booking amount","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
733,"VTP Earth 1 payment plan","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
734,"VTP Earth 1 subvention scheme 10 90","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
735,"VTP Earth 1 no pre EMI offer","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
736,"VTP Earth 1 bank loan approval SBI HDFC","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
737,"VTP Earth 1 down payment amount","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
738,"VTP Earth 1 home loan EMI calculator","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
739,"VTP Earth 1 stamp duty and GST charges","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
740,"buy VTP Earth 1 flat for sale","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
741,"buy VTP Earth 1 apartment Pune","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
742,"VTP Earth 1 direct developer booking","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
743,"VTP Earth 1 zero brokerage booking","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
744,"VTP Earth 1 booking online","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
745,"VTP Earth 1 site visit appointment","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
746,"VTP Earth 1 sales office contact number","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
747,"VTP Earth 1 available units for sale","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
748,"VTP Earth 1 ready possession inventory","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
749,"VTP Earth 1 resale flats for sale","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
750,"VTP Earth 1 resale price list","VTP Earth 1","Township Blue Waters","Mahalunge","All","Transactional","BOFU","PPC","P1","ACTIVE_LUXE"
751,"VTP Earth 1 2 BHK","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
752,"VTP Earth 1 2 BHK price","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
753,"VTP Earth 1 2 BHK cost","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
754,"VTP Earth 1 2 BHK all inclusive price","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
755,"VTP Earth 1 2 BHK floor plan","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
756,"VTP Earth 1 2 BHK floor plan PDF","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
757,"VTP Earth 1 2 BHK carpet area","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
758,"VTP Earth 1 2 BHK usable area","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
759,"VTP Earth 1 2 BHK room dimensions","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
760,"VTP Earth 1 2 BHK sample flat","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
761,"VTP Earth 1 2 BHK sample flat video tour","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
762,"buy VTP Earth 1 2 BHK flat","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
763,"buy VTP Earth 1 2 BHK in Mahalunge","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
764,"VTP Earth 1 2 BHK for sale","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
765,"VTP Earth 1 2 BHK booking","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
766,"VTP Earth 1 2 BHK ready possession","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
767,"VTP Earth 1 2 BHK resale","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
768,"VTP Earth 1 2 BHK rental yield","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
769,"VTP Earth 1 2 BHK rent per month","VTP Earth 1","Township Blue Waters","Mahalunge","2 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
770,"VTP Earth 1 3 BHK","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
771,"VTP Earth 1 3 BHK price","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
772,"VTP Earth 1 3 BHK cost","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
773,"VTP Earth 1 3 BHK all inclusive price","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
774,"VTP Earth 1 3 BHK floor plan","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
775,"VTP Earth 1 3 BHK floor plan PDF","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
776,"VTP Earth 1 3 BHK carpet area","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
777,"VTP Earth 1 3 BHK usable area","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
778,"VTP Earth 1 3 BHK room dimensions","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
779,"VTP Earth 1 3 BHK sample flat","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
780,"VTP Earth 1 3 BHK sample flat video tour","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
781,"buy VTP Earth 1 3 BHK flat","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
782,"buy VTP Earth 1 3 BHK in Mahalunge","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
783,"VTP Earth 1 3 BHK for sale","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
784,"VTP Earth 1 3 BHK booking","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
785,"VTP Earth 1 3 BHK ready possession","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
786,"VTP Earth 1 3 BHK resale","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
787,"VTP Earth 1 3 BHK rental yield","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
788,"VTP Earth 1 3 BHK rent per month","VTP Earth 1","Township Blue Waters","Mahalunge","3 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
789,"VTP Earth 1 4 BHK","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
790,"VTP Earth 1 4 BHK price","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
791,"VTP Earth 1 4 BHK cost","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
792,"VTP Earth 1 4 BHK all inclusive price","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
793,"VTP Earth 1 4 BHK floor plan","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
794,"VTP Earth 1 4 BHK floor plan PDF","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
795,"VTP Earth 1 4 BHK carpet area","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
796,"VTP Earth 1 4 BHK usable area","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
797,"VTP Earth 1 4 BHK room dimensions","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
798,"VTP Earth 1 4 BHK sample flat","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
799,"VTP Earth 1 4 BHK sample flat video tour","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
800,"buy VTP Earth 1 4 BHK flat","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
801,"buy VTP Earth 1 4 BHK in Mahalunge","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
802,"VTP Earth 1 4 BHK for sale","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
803,"VTP Earth 1 4 BHK booking","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
804,"VTP Earth 1 4 BHK ready possession","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
805,"VTP Earth 1 4 BHK resale","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
806,"VTP Earth 1 4 BHK rental yield","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
807,"VTP Earth 1 4 BHK rent per month","VTP Earth 1","Township Blue Waters","Mahalunge","4 BHK","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
808,"VTP Earth 1 Simplex","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
809,"VTP Earth 1 Simplex price","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
810,"VTP Earth 1 Simplex cost","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
811,"VTP Earth 1 Simplex all inclusive price","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
812,"VTP Earth 1 Simplex floor plan","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
813,"VTP Earth 1 Simplex floor plan PDF","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
814,"VTP Earth 1 Simplex carpet area","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
815,"VTP Earth 1 Simplex usable area","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
816,"VTP Earth 1 Simplex room dimensions","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
817,"VTP Earth 1 Simplex sample flat","VTP Earth 1","Township Blue Waters","Mahalunge","Simplex","Transactional","BOFU","SEO/PPC","P1","ACTIVE_LUXE"
